Site Location,Stock Status,Material No.,Category,Description,Long tex
JUR,No Stock,2166275,General,"BRUSH;STL WIRE;HND,6 ROWS,12FT S/BOX",SHORT_NAME:BRUSH MATERIAL:STEEL WIRE SPECIAL_FEATURES:HAND 6 ROWS 12FT S/BOX
JUR,No Stock,2166276,General,"BRUSH;BRS WIRE;HND,4 ROWS,12FT S/BOX",SHORT_NAME:BRUSH MATERIAL:BRASS WIRE SPECIAL_FEATURES:HAND 4 ROWS 12FT S/BOX
JUR,No Stock,2166280,General,ABRASIVE;50YD LG;2 IN WD;80 GRIT,SHORT_NAME:ABRASIVE LENGTH:50YD WIDTH:2 IN GRIT:80 BACKING_MATERIAL:CLOTH EMERY (PLAIN WEAVE)
JUR,No Stock,2166292,Gasket,PAINT;SPRY PYLOX AERSL CNTNR,SHORT_NAME:PAINT CONTAINER_TYPE:SPRAY PYLOX AEROSOL SPECIAL_FEATURES:6FT S/CASE ASSORTED COLOUR
JUR,No Stock,2166295,Lubricant,COMPOUND/LUBRICANT;RTV 732;12FT S;CLR,SHORT_NAME:LUBRICANT/SEALANT COMPOUND COLOR:CLEAR PACKAGE_SIZE:12FT S PACKAGE_TYPE:BOX TRADE_NAME:RTV 732 APPLICATION:MULTI PURPOSE
JUR,No Stock,2166297,Lubricant,COMPOUND/LUBRICANT;12FT S;BOX PACKAGE,SHORT_NAME:LUBRICANT/SEALANT COMPOUND ITEM_DESCRIPTION:SEALANT TYPE:THREADED PACKAGE_SIZE:12FT S PACKAGE_TYPE:BOX MANUFACTURER_NAME:LOCTITE MANUFACTURER_PART_NUMBER:567
JUR,Available,2166305,Gasket,CLEANING;ELEC CONT CLNR;CFC FREE;LPS,SHORT_NAME:CLEANING SUPPLY TYPE:ELEC CONT CLEANER SPECIAL_FEATURES:CFC FREE MANUFACTURER_NAME:LPS MANUFACTURER_PART_NUMBER:AU00422
JUR,Available,2166306,General,"TAPE,BARRICADE;PVC;NON",SHORT_NAME:TAPE BARRICADE MATERIAL:PVC ADHESIVE:NON SPECIAL_FEATURES:W/RED AND WHITE STRIP SIZE:3 IN WIDE*80 MTR ROLL
JUR,Available,2166354,Category ,"CABLE-TIE,200 X 4.8MM 100'S/BG",CABLE-TIE 200 X 4.8MM 100'S / BG
JUR,No Stock,2166355,General,"CABLE-TIE,320 X 4.8MM 100'S/BG",
JUR,No Stock,2167383,General,CLEANING;CLNR ELEC CONTACT;11 OZ;LPS,SHORT_NAME:CLEANING SUPPLY TYPE:CLEANER ELECTRICAL CONTACT MATERIAL:PLASTIC METAL FIBRE RUBBER PAINT FABRIC AND GLASS SURFACE LOW TOXICITY PACKAGE_TYPE:AEROSOL CAN PACKAGE_SIZE:11 OZ SPECIAL_FEATURES:FAST EVAPORATION NO RINSING AND NO RESIDUE NON-CONDUCTIVE SAFE ON MANUFACTURER_NAME:LPS MANUFACTURER_PART_NUMBER:03116
JUR,Available,2167408,General,"TAPE,MASKING CREPE PAPER 2""X 25YRD/ROL",
JUR,Available,2167495,General,ABSORBENT;OILSORB PAD;PP;GNRL PRPSE,SHORT_NAME:ABSORBENT TYPE:OILSORB PAD MATERIAL:POLYPROPYLENE SIZE:3/8 IN*17 IN*19 IN SPECIAL_FEATURES:GENERAL PURPOSE PACKAGE_UNIT:100 PIECES/BAG
JUR,Available,2173199,Safety,GLOVE;NITRL;GREEN;13 IN LG;SZ 10;37-175,SHORT_NAME:GLOVE MATERIAL:NITRILE COLOR:GREEN LENGTH:13 IN SIZE:10 SPECIAL_FEATURES:12 POLY BAGS/CASE MANUFACTURER_NAME:ANSELL SOL-VEX MANUFACTURER_PART_NUMBER:37-175
JUR,Available,2173254,Safety,GLOVE;NEOPRN;SZ 9;29-865;ANSELL,MANUFACTURER_NAME:ANSELL MANUFACTURER_PART_NUMBER:29-865 SHORT_NAME:GLOVE MATERIAL:NEOPRENE SIZE:9
JUR,Available,2177829,Form,FORM/PERMIT/CHECKLIST;2177829 LOGSHEET,SHORT_NAME:FORM/PERMIT/CHECKLIST ITEM_DESCRIPTION:2177829 LOGSHEET PACKAGE_UNIT:100EA/PAC SPECIAL_FEATURES:GROUP ELECTRICAL ENERGY ISOLATION SCD CRITICAL DVC DEACTIVATION
JUR,Available,2182041,General,"DECAL/TAG,EQUIP;LANDSCAPE STICKER",SHORT_NAME:DECAL/TAG EQUIPMENT TYPE:LANDSCAPE STICKER SIZE:20CM*14CM PACKAGE_UNIT:200 PIECES SPECIAL_FEATURES:F/CHEMICALS CATALYST AND WASTE DISPOSAL
JUR,Available,2186694,General,TAG;GENERAL INFORMATION,SHORT_NAME:TAG AND ACCESSORY ITEM_DESCRIPTION:GENERAL INFORMATION
JUR,Available,2186697,General,FORM/PERMIT/CHECKLIST,SHORT_NAME:FORM/PERMIT/CHECKLIST ITEM_DESCRIPTION:OPENING PROCESS EQUIP WORK PERMIT
JUR,Available,2186720,Safety,GLOVE;COWHIDE LETHR;CR GRAY;SZ 33CM,SHORT_NAME:GLOVE MATERIAL:COWHIDE LEATHER COLOR:CHROME GRAY LENGTH:10CM SAFETY CUFF SIZE:33CM SPECIAL_FEATURES:HEAVY DUTY COWHIDE LEATHER W/FLEECE LINING ING THUMB STITCH FREE PALM F/INCREASED DURABILITY TOUGH AND DURABLE ONE SZS FIT ALL MANUFACTURER_NAME:QUANTUM SAFETY NETWORK PTE LTD MANUFACTURER_PART_NUMBER:PRO WY 5013-SGD 3
JUR,Available,2187029,Form,FORM/PERMIT/CHECKLIST;50FT S/PAD,SHORT_NAME:FORM/PERMIT/CHECKLIST ITEM_DESCRIPTION:GENERAL WORK PERMIT PACKAGE_UNIT:50FT S/PAD
JUR,Available,2187193,Safety,GLOVE;DSPSBL XPERT;M;NITRL;EXERT,SHORT_NAME:GLOVE TYPE:DSPSBL XPERT SIZE_DESIGNATION:M MATERIAL:NITRILE SPECIAL_FEATURES:100PCS/BOX MANUFACTURER_NAME:EXERT
JUR,Available,2187194,Safety,GLOVE;DSPSBL XPERT;L;NITRL;EXERT,SHORT_NAME:GLOVE TYPE:DSPSBL XPERT SIZE_DESIGNATION:L MATERIAL:NITRILE SPECIAL_FEATURES:100PCS/BOX MANUFACTURER_NAME:EXERT
JUR,Available,2187195,Safety,GLOVE;DSPSBL XPERT;XL;NITRL;EXERT,SHORT_NAME:GLOVE TYPE:DSPSBL XPERT SIZE_DESIGNATION:XL MATERIAL:NITRILE SPECIAL_FEATURES:100PCS/BOX MANUFACTURER_NAME:EXERT
JUR,Available,2187196,Safety,GLOVE;LETHR;QM118,SHORT_NAME:GLOVE MATERIAL:LEATHER MANUFACTURER_PART_NUMBER:QM118
JUR,Available,66143620,General,"BRUSH;WIRE;BRISTEELE BRS,HANDLE WOOD;12",SHORT_NAME:BRUSH TYPE:WIRE SIZE:OVERALL LG 9 IN BLOCK WD 20MM*BRUSH LG 25MM MATERIAL:BRISTEELE BRASS HANDLE WOOD SPECIAL_FEATURES:BRISTEELE ROWS:4 WIRE DESIGN:CRIMP WIRE GAUGE:35 HANDLE TYPE:FLAT MANUFACTURER_NAME:CFC-CHINA MANUFACTURER_PART_NUMBER:207652 PACKAGE_UNIT:12
JUR,Available,66199586,General,"TAPE,GENERAL;INSULATION;SLCNE RBBR",
JUR,Available,66137739,General,TAG;OPE BREAK LOCATION-2017;IDENT,SHORT_NAME:TAG AND ACCESSORY ITEM_DESCRIPTION:OPE BREAK LOCATION-2017 TYPE:IDENTIFICATION
JUR,Available,66138029,General,TAG;ENERGY VERIFICATION PT-2017;IDENT,SHORT_NAME:TAG AND ACCESSORY ITEM_DESCRIPTION:ENERGY VERIFICATION POINT-2017 TYPE:IDENTIFICATION
JUR,Available,66138035,General,TAG;IDENT;MECH ENERGY CNTRL-2017,SHORT_NAME:TAG AND ACCESSORY ITEM_DESCRIPTION:IDENTIFICATION SPECIAL_FEATURES:MECH ENERGY CONTROL-2017
JUR,Available,66138040,General,TAG;EID TAG CLOSE/OPEN DE-ENERGIZED-2017,SHORT_NAME:TAG AND ACCESSORY ITEM_DESCRIPTION:EID TAG CLOSE/OPEN DE-ENERGIZED-2017 TYPE:IDENTIFICATION
PAC,Available,2000009,General,ROPE;BARRIER;SZ 1/4 IN D;YLW/BCK,SHORT_NAME:ROPE TYPE:BARRIER SIZE:1/4 IN D COLOR:YELLOW/BCK MATERIAL:PLAST POLY
PAC,Available,2000050,Lubricant,OIL;AEROSPRAY WD-40;340GRAMS/12 OZ,SHORT_NAME:OIL TYPE:RUST PREVENTER TRADE_NAME:AEROSPRAY WD-40 CONTAINER_SIZE:340GRAMS/12 OZ CONTAINER_TYPE:AEROSOL CAN SPECIAL_FEATURES:PACKED IN USA
PAC,Available,2001142,Fastener,STUDBOLT;SZ 3/4 IN;5.1/4 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:3/4 IN LENGTH:5.1/4 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
PAC,Available,2001146,Fastener,STUDBOLT;SZ 3/4 IN;6.1/2 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:3/4 IN LENGTH:6.1/2 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
PAC,Available,2001162,Fastener,STUDBOLT;SZ 7/8 IN;5 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:7/8 IN LENGTH:5 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
PAC,Available,2001193,Fastener,STUDBOLT;SZ 1 IN;6.1/2 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:1 IN LENGTH:6.1/2 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
PAC,Available,2001196,Fastener,STUDBOLT;SZ 1 IN;7.1/2 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:1 IN LENGTH:7.1/2 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
PAC,Available,2001213,Fastener,STUDBOLT;SZ 1.1/8 IN;6.1/2 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:1.1/8 IN LENGTH:6.1/2 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
PAC,Available,2001240,Fastener,STUDBOLT;SZ 1.1/4 IN;7.1/2 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:1.1/4 IN LENGTH:7.1/2 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
PAC,Available,2001242,Fastener,STUDBOLT;SZ 1.1/4 IN;8 IN LG;B7 NUT,SHORT_NAME:STUDBOLT SIZE:1.1/4 IN LENGTH:8 IN MATERIAL_SPECIFICATION:GR-B7 2H NUT
PAC,Available,2006424,U-bolt,"BOLT,U;SZ PIPE IN. 1/2* 1/4 IN;NC THD;CS",SHORT_NAME:BOLT U SIZE:PIPE IN. 1/2*DIA 1/4 IN THREAD_TYPE:NC MATERIAL:CS FINISH:GALV SPECIAL_FEATURES:W/2 HEXAGON NUT
PAC,Available,2006425,U-bolt,"BOLT,U;SZ PIPE 3/4 IN* 1/4 IN;NC THD;CS",SHORT_NAME:BOLT U SIZE:PIPE 3/4 IN*DIA 1/4 IN THREAD_TYPE:NC MATERIAL:CS FINISH:GALV SPECIAL_FEATURES:W/2 HEXAGON NUT
PAC,Available,2006426,U-bolt,"BOLT,U;SZ PIPE 1 IN* 1/4 IN;NC THD;CS",SHORT_NAME:BOLT U SIZE:PIPE 1 IN*DIA 1/4 IN THREAD_TYPE:NC MATERIAL:CS FINISH:GALV SPECIAL_FEATURES:W/2 HEXAGON NUT
PAC,Available,2006427,U-bolt,"BOLT,U;SZ PIPE 1.1/2 IN* 1/4 IN;NC THD",SHORT_NAME:BOLT U SIZE:PIPE 1.1/2 IN*DIA 1/4 IN THREAD_TYPE:NC MATERIAL:CS FINISH:GALV SPECIAL_FEATURES:W/2 HEXAGON NUT
PAC,Available,2006428,U-bolt,"BOLT,U;SZ PIPE 2 IN* 1/4 IN;NC THD;CS",SHORT_NAME:BOLT U SIZE:PIPE 2 IN*DIA 1/4 IN THREAD_TYPE:NC MATERIAL:CS FINISH:GALV SPECIAL_FEATURES:W/2 HEXAGON NUT
PAC,Available,2006429,U-bolt,"BOLT,U;SZ PIPE 3 IN* 1/4 IN;NC THD;CS",SHORT_NAME:BOLT U SIZE:PIPE 3 IN*DIA 1/4 IN THREAD_TYPE:NC MATERIAL:CS FINISH:GALV SPECIAL_FEATURES:W/2 HEXAGON NUT
PAC,Available,2006730,General,CLIP;SZ 1.1/2 IN;GALV,SHORT_NAME:CLIP SIZE:1.1/2 IN SPECIAL_FEATURES:GALV
PAC,Available,2007384,Fittings,"REDUCER,P;SZ 3/4*1/2;FS,A105 GR2;THD",SHORT_NAME:REDUCER PIPE TYPE:CONCENTRIC RED CPLG SIZE:NOMINAL 3/4*1/2 CONNECTION_TYPE:THREADED MATERIAL:FORGED STEEL ASTM A105 GR2 SPECIAL_FEATURES:PRESSURE RATING:3000 LB
PAC,Available,2007398,Fittings,TEE;SZ 1 IN;ASTM A-105 GR 2;CS;SKT WLDNG,SHORT_NAME:TEE TYPE:PIPE STRAIGHT END_CONNECTION_TYPE:SOCKET WELDING MATERIAL:CS MATERIAL_SPECIFICATION:ASTM A-105 GR 2 MANUFACTURE_PROCESS:FORGED PRESSURE_RATING:3000# SIZE:1 IN
PAC,Available,2008070,Fittings,COUPLING;SZ 1/2 IN;MALE;CHICAGO,SHORT_NAME:COUPLING SIZE:1/2 IN END_CONNECTION_TYPE:MALE MANUFACTURER_NAME:CHICAGO
PAC,Available,2008071,Fittings,COUPLING;SZ 3/4 IN;MALE;CHICAGO,SHORT_NAME:COUPLING SIZE:3/4 IN END_CONNECTION_TYPE:MALE MANUFACTURER_NAME:CHICAGO
PAC,Available,2008073,Fittings,COUPLING;SZ 3/4 IN;FEM;CHICAGO FEM,SHORT_NAME:COUPLING SIZE:3/4 IN END_CONNECTION_TYPE:FEMALE MANUFACTURER_NAME:CHICAGO FEM
PAC,Available,2008173,Fittings,"NIPPLE,P;SZ 1/2 IN*2 IN*S160",SHORT_NAME:NIPPLE PIPE SIZE:1/2 IN*2 IN*S160 MATERIAL:ASTM A234 GR WPB END_CONNECTION:THREAD BOTH END
PAC,Available,2008174,Fittings,"NIPPLE,P;SZ 1/2 IN*3 IN*S160",SHORT_NAME:NIPPLE PIPE SIZE:1/2 IN*3 IN*S160 MATERIAL:ASTM A234 GR WPB END_CONNECTION:THREAD BOTH END
PAC,Available,2008182,Fittings,"NIPPLE,P;SZ 3/4 IN*2 IN*S160",SHORT_NAME:NIPPLE PIPE SIZE:3/4 IN*2 IN*S160 MATERIAL:ASTM A234 GR WPB END_CONNECTION:THREAD BOTH END
PAC,Available,2008183,Fittings,"NIPPLE,P;SZ 3/4 IN*3 IN*S160",SHORT_NAME:NIPPLE PIPE SIZE:3/4 IN*3 IN*S160 MATERIAL:ASTM A234 GR WPB END_CONNECTION:THREAD BOTH END
PAC,Available,2008184,Fittings,"NIPPLE,P;SZ 3/4 IN*4 IN*S160",SHORT_NAME:NIPPLE PIPE SIZE:3/4 IN*4 IN*S160 MATERIAL:ASTM A234 GR WPB END_CONNECTION:THREAD BOTH END
PAC,Available,2008185,Fittings,"NIPPLE,P;SZ 3/4 IN*6 IN*S160",SHORT_NAME:NIPPLE PIPE SIZE:3/4 IN*6 IN*S160 MATERIAL:ASTM A234 GR WPB END_CONNECTION:THREAD BOTH END
PAC,Available,2008193,Fittings,"NIPPLE,P;SZ 1 IN*6 IN;ASTM A234 GR WPB",SHORT_NAME:NIPPLE PIPE SIZE:1 IN*6 IN MATERIAL:ASTM A234 GR WPB END_CONNECTION:THREAD BOTH END SCHEDULE:160
PAC,Available,2012075,General,OILER;8 OZ;GLASS;TRICO OPTO,
PAC,Available,2012878,Fittings,"GAUGE,PRES;0-30PSIG PRES RNG;SZ 100MM",
PAC,Available,2012879,Fittings,GAUGE;PRES;0-60PSIG;1/2IN NPT;100MM;SS,
PAC,Available,2012883,Fittings,"GAUGE,PRES;0-300# PRES RNG;SZ 100MM;BTM",
PAC,Available,2012885,Fittings,"GAUGE,PRES;0-600PSIG PRES RNG;SZ 100MM",
PAC,Available,2012887,Fittings,"GAUGE,PRES;0-1000PSIG PRES RNG;BTM",
PAC,Available,2014637,Fittings,TAPE;MSKNG;50YD LG;3 IN WD,SHORT_NAME:TAPE TYPE:MASKING LENGTH:50YD WIDTH:3 IN
PAC,Available,2014638,Fittings,TAPE;MSKNG;50YD LG;2 IN WD,SHORT_NAME:TAPE TYPE:MASKING LENGTH:50YD WIDTH:2 IN
PAC,Available,2014640,Fittings,TAPE;MASK;50YD LG;1 IN WD,SHORT_NAME:TAPE TYPE:MASK LENGTH:50YD WIDTH:1 IN
PAC,Available,2016546,Gasket,"GASKET,SW;SZ 4 IN;150#;TYPE 316L SS WNDG",SHORT_NAME:GASKET SPIRAL WOUND SIZE:4 IN WINDING_MATERIAL:TYPE 316L SS FILLER_MATERIAL:FLEXIBLE GRAPHITE PRESSURE_RATING:150# INDUSTRY_STANDARD:ASME B16.20 SPECIAL_FEATURES:RF MINIMUM 98% PURE C ARBON GWG01 W/INNER RING
PAC,Available,2016576,Gasket,"GASKET,SW;SZ 12 IN;600#;FLEX GRPHT FILL",SHORT_NAME:GASKET SPIRAL WOUND SIZE:12 IN WINDING_MATERIAL:TYPE 316L SS FILLER_MATERIAL:FLEXIBLE GRAPHITE PRESSURE_RATING:600# INDUSTRY_STANDARD:ASME B16.20 SPECIAL_FEATURES:RF MINIMUM 98% PURE C ARBON GWG01 W/INNER RING
PAC,Available,2016580,Gasket,"GASKET,SW;SZ 4 IN;600#;TYPE 316L SS WNDG",SHORT_NAME:GASKET SPIRAL WOUND SIZE:4 IN WINDING_MATERIAL:TYPE 316L SS FILLER_MATERIAL:FLEXIBLE GRAPHITE PRESSURE_RATING:600# INDUSTRY_STANDARD:ASME B16.20 SPECIAL_FEATURES:RF MINIMUM 98% PURE C ARBON GWG01 W/INNER RING
PAC,Available,2157834,Gasket,"GASKET,SW;SZ 14 IN;150#;FLEX GRPHT FILL",SHORT_NAME:GASKET SPIRAL WOUND SIZE:14 IN WINDING_MATERIAL:TYPE 316L SS FILLER_MATERIAL:FLEXIBLE GRAPHITE PRESSURE_RATING:150# INDUSTRY_STANDARD:ASME B16.20 SPECIAL_FEATURES:RF MINIMUM 98% PURE C ARBON GWG01 W/INNER RING
PAC,No Stock,2166262,General,"LUBR,RUST&CRSN PREVENTIVE FLUID FILM",CMPNT:ENG;FLM; Long text: COMPONENT:ENGINE; TYPE: FILM; ADDITIONAL INFORMATION: PACKAGE UNIT: 24FT S/CASE ; SUB TYPE: LUBRICATION RUST ANDCORROSION PREVENTIVE FLUID
PAC,Available,2166309,General,"TAPE,BARRICADE;BLK LEGEND;YLW",SHORT_NAME:TAPE BARRICADE LEGEND_COLOR:BLACK BACKGROUND_COLOR:YELLOW SIZE:3 IN X100MTRS
PAC,Available,2167524,Safety,GLOVE;CHEMICAL;NITRIDE COLR:GREEN;493,SHORT_NAME:GLOVE TYPE:CHEMICAL MATERIAL:NITRIDE COLOR:GREEN SIZE:8 TO 11 SPECIAL_FEATURES:MEET:USDA 21 CFR 170-199 CE APPROVED MANUFACTURER_NAME:MAPA MANUFACTURER_PART_NUMBER:493
PAC,Available,2186529,General,"TIE,CABLE;NYLN;BLK",SHORT_NAME:TIE CABLE MATERIAL:NYLON COLOR:BLACK SPECIAL_FEATURES:100FT S/PKT 100 PCS/PACK SIZE:(450MM) 18 IN*7.6MM
PAC,Available,2187271,Safety,GLOVE;QUANTM;PRO WY 5013-12/PCK,SHORT_NAME:GLOVE SPECIAL_FEATURES:PRO WY 5013-12/PACK MANUFACTURER_NAME:QUANTUM
PAC,Available,66137739,General,TAG;OPE BREAK LOCATION-2017;IDENT,SHORT_NAME:TAG AND ACCESSORY ITEM_DESCRIPTION:OPE BREAK LOCATION-2017 TYPE:IDENTIFICATION
PAC,Available,66138029,General,TAG;ENERGY VERIFICATION PT-2017;IDENT,SHORT_NAME:TAG AND ACCESSORY ITEM_DESCRIPTION:ENERGY VERIFICATION POINT-2017 TYPE:IDENTIFICATION
PAC,Available,66138035,General,TAG;IDENT;MECH ENERGY CNTRL-2017,SHORT_NAME:TAG AND ACCESSORY ITEM_DESCRIPTION:IDENTIFICATION SPECIAL_FEATURES:MECH ENERGY CONTROL-2017
PAC,Available,66138036,General,TAG;TAG HAZARD;IDENT;CLASS 1 EVP-2017,SHORT_NAME:TAG AND ACCESSORY ITEM_DESCRIPTION:TAG HAZARD TYPE:IDENTIFICATION SPECIAL_FEATURES:CLASS 1 EVP-2017
PAC,Available,66138040,General,TAG;EID TAG CLOSE/OPEN DE-ENERGIZED-2017,SHORT_NAME:TAG AND ACCESSORY ITEM_DESCRIPTION:EID TAG CLOSE/OPEN DE-ENERGIZED-2017 TYPE:IDENTIFICATION
PAC,Available,2000061,Lubricant,COMPOUND/LUBRICANT;500GM;CAN PACKAGE,SHORT_NAME:LUBRICANT/SEALANT COMPOUND TYPE:ANTI-SEIZE COPPER BASE PACKAGE_SIZE:500GM PACKAGE_TYPE:CAN TEMPERATURE_RATING:1100DEG C APPLICATION:F/EASY DISMANTLE AND RE-ASSEMBLY OF METAL FITTING. SUITABLE F/JOINTS INCLUDING NUTS BOLTS AND BATTERY TERMINAL TEMPERATURE RANGE SUB ZERO TO OVER MANUFACTURER_NAME:MOLYSLIP COPASLIP
PAC,Available,2000243,General,DETECTOR;LIQ LEAK;8 OZ. (236 ML) BTL,SHORT_NAME:DETECTOR TYPE:LIQUID LEAK TEMPERATURE_RANGE:27 TO 200 DEG F (2 TO 93 DEG C) CONTAINER:8 OZ. (236 ML) BOTTLE APPLICATION:F/GAS 8 OZ BTL MANUFACTURER_PART_NUMBER:MS-SNOOP-8OZ
PAC,Available,2001104,Fastener,STUDBOLT;SZ 1/2 IN;2.1/2 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:1/2 IN LENGTH:2.1/2 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
PAC,Available,2001105,Fastener,STUDBOLT;SZ 1/2 IN;2.3/4 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:1/2 IN LENGTH:2.3/4 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
PAC,Available,2001106,Fastener,STUDBOLT;SZ 1/2 IN;3 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:1/2 IN LENGTH:3 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
PAC,Available,2001120,Fastener,STUDBOLT;SZ 5/8 IN;3 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:5/8 IN LENGTH:3 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
PAC,Available,2001122,Fastener,STUDBOLT;SZ 5/8 IN;3.1/2 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:5/8 IN LENGTH:3.1/2 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
PAC,Available,2001123,Fastener,STUDBOLT;SZ 5/8 IN;3.3/4 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:5/8 IN LENGTH:3.3/4 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
PAC,Available,2001124,Fastener,STUDBOLT;SZ 5/8 IN;4 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:5/8 IN LENGTH:4 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
PAC,Available,2001126,Fastener,STUDBOLT;SZ 5/8 IN;4.1/2 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:5/8 IN LENGTH:4.1/2 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
PAC,No Stock,2001133,Fastener,STUDBOLT;SZ 3/4 IN;3 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:3/4 IN LENGTH:3 IN MATERIAL_SPECIFICATION:GR-B7 NUMBER_OF_NUTS:W/2HEX NUT GR-B7
PAC,Available,2001137,Fastener,STUDBOLT;SZ 3/4 IN;4 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:3/4 IN LENGTH:4 IN MATERIAL_SPECIFICATION:B7 NUMBER_OF_NUTS:W/2HEX NUT
PAC,Available,2001139,Fastener,STUDBOLT;SZ 3/4 IN;4.1/2 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:3/4 IN LENGTH:4.1/2 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
PAC,Available,2001140,Fastener,STUDBOLT;SZ 3/4 IN;4.3/4 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:3/4 IN LENGTH:4.3/4 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
PAC,Available,2001141,Fastener,STUDBOLT;SZ 3/4 IN;5 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:3/4 IN LENGTH:5 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
PAC,Available,2001145,Fastener,STUDBOLT;SZ 3/4 IN;6 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:3/4 IN LENGTH:6 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
PAC,Available,2001158,Fastener,STUDBOLT;SZ 7/8 IN;4 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:7/8 IN LENGTH:4 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
PAC,Available,2001164,Fastener,STUDBOLT;SZ 7/8 IN;5.1/2 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:7/8 IN LENGTH:5.1/2 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
PAC,Available,2001166,Fastener,STUDBOLT;SZ 7/8 IN;6 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:7/8 IN LENGTH:6 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
PAC,Available,2001168,Fastener,STUDBOLT;SZ 7/8 IN;6.1/2 IN LG;B7,SHORT_NAME:STUDBOLT SIZE:7/8 IN LENGTH:6.1/2 IN MATERIAL_SPECIFICATION:GR-B7 SPECIAL_FEATURES:W/2H NUT
PAC,Available,2001189,Fastener,STUDBOLT;SZ 1 IN;5.1/2 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:1 IN LENGTH:5.1/2 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
PAC,Available,2001215,Fastener,STUDBOLT;SZ 1.1/8 IN;7 IN LG;B7;W/2H NUT,SHORT_NAME:STUDBOLT SIZE:1.1/8 IN LENGTH:7 IN MATERIAL_SPECIFICATION:GR-B7 NUT_TYPE:W/2H
PAC,Available,2006727,General,CLIP;SZ 1/2 IN;GALV,SHORT_NAME:CLIP SIZE:1/2 IN MATERIAL:GALV
PAC,Available,2006729,General,CLIP;SZ 1 IN;GALV,SHORT_NAME:CLIP SIZE:1 IN MATERIAL:GALV
PAC,Available,2006732,General,CLIP;SZ 3 IN;GALV,SHORT_NAME:CLIP SIZE:3 IN MATERIAL:GALV
PAC,Available,2006734,General,CLIP;SZ 6 IN;GALV,SHORT_NAME:CLIP SIZE:6 IN MATERIAL:GALV
